id,description
354484,"- Zwischenberichte und Abschlussbericht zum Pilotprojekt: Markierungen den Überholabstand von Kfz Fahrenden beim Überholen von Radfahrenden messen
- Vermerke zum möglichen Einsatz der erprobten Maßnahme
- gegebenfalls weitere gerichtsfeste Lösung zur Messung des Mindestabstands beim Überholen von Radfahrenden die von Ihnen im Land NRW eingesetzt wird.

Begründung:
Im Jahr 2024 hat die Polizei im Rahmen eines Pilotprojekts an fünf Orten in NRW mithilfe von Markierungen den Überholabstand von Kfz Fahrenden beim Überholen von Radfahrenden erprobt und kontrolliert.

Ich begrüße ihr Pilotprojekt, da ich als Radfahrender Familienvater mit meinem Sohn fast täglich zu eng überholt werde. Mir machen diese zu engen Überholvorgänge Angst und sie gefährden mich und mein Kind. Ich wünsche mir daher das ihr Pilotprojekt in der täglichen Praxis Anwendung findet und entsprechende Messungen von der Polizei in NRW durchgeführt werden.

Seit Ende des Pilotprojekts dürfte in der Zwischenzeit über ein Jahr vergangen sein. Nun stellt sich die Frage, welche Ergebnisse ziehen die Kreispolizeibehörde, und Sie, die LZPD und das Innenministerium aus dem Projekt. 

Gibt es einen Abschlussbericht, der die angewendeten Messverfahren aufzeigt, Ergebnisse zusammenfasst und weitere Handlungen empfiehlt?
___
https://rp-online.de/nrw/staedte/hilden/pilotprojekt-in-hilden-polizei-testet-abstandsmessungen-fahrrad-auto_aid-116209041
https://www.aachener-zeitung.de/lokales/region-dueren/dueren/mehr-sicherheit-fuer-radfahrer-polizei-kontrolliert-mindestabstand/15749707.html

Auf Bundesebene hatte ich hierzu bereits folgende Anfrage gestellt: https://fragdenstaat.de/anfrage/gerichtsfeste-technische-loesungen-zur-messung-des-mindestabstands-beim-ueberholen-von-radfahrenden/"
366393,"1. Wann haben die beiden letzten lebensmittelrechtlichen Betriebsüberprüfungen im folgenden Betrieb stattgefunden:
Backwerk
Wittekindstraße 10

2. Kam es hierbei zu Beanstandungen? Falls ja, beantrage ich hiermit die Herausgabe des entsprechenden Kontrollberichts an mich."
365659,"Guten Tag,

Bitte senden Sie mir die Prüfungsunterlagen des zweiten Abschnitts der ärztlichen Prüfung (M2) aus dem Frühjahr 2025, einschließlich Prüfungsfragen, Antwortoptionen, Musterlösungen, Korrekturhinweise und sämtliches Bildmaterial zu. 

Da entsprechende Unterlagen bereits im Rahmen einer Anfrage vom 28. August 2025 an Dritte herausgegeben wurden, bitte ich um Gleichbehandlung."
364699,"Antrag nach dem IFG/UIG/VIG

Sehr geehrte Damen und Herren,


bezüglich der angestrebten Reformen im Familienrecht steht das BMJV im Austausch mit Teilen des Zivilgesellschaft. 

Bitte senden Sie mir eine Liste der Fachverbände und zivilgesellschaftlichen Organisationen, mit denen sich Vertreter(innen) des Minteriums in 2025 diesbezüglich zu Gesprächen getroffen haben.

Diese Anfrage umfasst mit ""Familienrecht"" die Rechtsbereiche Kindschafts-, Sorge-, Umgangs- und Unterhaltsrecht sowie Gewaltschutz.
 
Dies ist ein Antrag auf Zugang zu amtlichen Informationen nach § 1 des Gesetzes zur Regelung des Zugangs zu Informationen des Bundes (IFG) sowie § 3 Umweltinformationsgesetz (UIG), soweit Umweltinformationen im Sinne des § 2 Abs. 3 UIG betroffen sind, sowie § 1 des Gesetzes zur Verbesserung der gesundheitsbezogenen Verbraucherinformation (VIG), soweit Informationen im Sinne des § 1 Abs. 1 VIG betroffen sind.

Sollte der Informationszugang Ihres Erachtens gebührenpflichtig sein, möchte ich Sie bitten, mir dies vorab mitzuteilen und detailliert die zu erwartenden Kosten aufzuschlüsseln. Meines Erachtens handelt es sich um eine einfache Auskunft. Gebühren fallen somit nach § 10 IFG bzw. den anderen Vorschriften nicht an. Auslagen dürfen nach BVerwG 7 C 6.15 nicht berechnet werden. Sollten Sie Gebühren veranschlagen wollen, bitte ich gemäß § 2 IFGGebV um Befreiung oder hilfsweise Ermäßigung der Gebühren.

Ich verweise auf § 7 Abs. 5 IFG/§ 3 Abs. 3 Satz 2 Nr. 1 UIG/§ 4 Abs. 2 VIG und bitte Sie, mir die erbetenen Informationen so schnell wie möglich, spätestens nach Ablauf eines Monats zugänglich zu machen. Kann diese Frist nicht eingehalten werden, müssen Sie mich darüber innerhalb der Frist informieren.

Ich bitte Sie um eine Antwort per E-Mail gemäß § 1 Abs. 2 IFG. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an behördenexterne Dritte. Sollten Sie meinen Antrag ablehnen wollen, bitte ich um Mitteilung der Dokumententitel und eine ausführliche Begründung.

Ich möchte Sie um eine Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen"
364821,"Sehr geehrte Damen und Herren,
bezüglich der angestrebten Reformen im Familienrecht steht das BMJV im Austausch mit Teilen des Zivilgesellschaft.
Bitte senden Sie mir eine Liste der Fachverbände und zivilgesellschaftlichen Organisationen, mit denen sich Vertreter(innen) des Minteriums bis zum 05.03.2026 bereits diesbezüglich zu Gesprächen getroffen haben.
Weiterhin, wie viele Gespräche mit den Fachverbänden und zivilgesellschaftlichen Organisationen in 2025 bis zum 05.03.2026 stattgefunden haben.
Diese Anfrage umfasst mit ""Familienrecht"" die Rechtsbereiche Kindschafts-, Sorge-, Umgangs- und Unterhaltsrecht sowie Gewaltschutz.

Dies ist ein Antrag auf Zugang zu amtlichen Informationen nach § 1 des Gesetzes zur Regelung des Zugangs zu Informationen des Bundes (IFG) sowie § 3 Umweltinformationsgesetz (UIG), soweit Umweltinformationen im Sinne des § 2 Abs. 3 UIG betroffen sind, sowie § 1 des Gesetzes zur Verbesserung der gesundheitsbezogenen Verbraucherinformation (VIG), soweit Informationen im Sinne des § 1 Abs. 1 VIG betroffen sind.
Sollte der Informationszugang Ihres Erachtens gebührenpflichtig sein, möchte ich Sie bitten, mir dies vorab mitzuteilen und detailliert die zu erwartenden Kosten aufzuschlüsseln. Meines Erachtens handelt es sich um eine einfache Auskunft. Gebühren fallen somit nach § 10 IFG bzw. den anderen Vorschriften nicht an. Auslagen dürfen nach BVerwG 7 C 6.15 nicht berechnet werden. Sollten Sie Gebühren veranschlagen wollen, bitte ich gemäß § 2 IFGGebV um Befreiung oder hilfsweise Ermäßigung der Gebühren.
Ich verweise auf § 7 Abs. 5 IFG/§ 3 Abs. 3 Satz 2 Nr. 1 UIG/§ 4 Abs. 2 VIG und bitte Sie, mir die erbetenen Informationen so schnell wie möglich, spätestens nach Ablauf eines Monats zugänglich zu machen. Kann diese Frist nicht eingehalten werden, müssen Sie mich darüber innerhalb der Frist informieren.
Ich bitte Sie um eine Antwort per E-Mail gemäß § 1 Abs. 2 IFG. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an behördenexterne Dritte. Sollten Sie meinen Antrag ablehnen wollen, bitte ich um Mitteilung der Dokumententitel und eine ausführliche Begründung.
Ich möchte Sie um eine Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!"
365202,"Sehr geehrte Damen und Herren,

hiermit stelle ich eine Anfrage nach dem Informationsfreiheitsgesetz NRW, UIG NRW, VIG und bitte um Auskunft zu folgenden Punkten:

Welchen Preis pro Mittagessen zahlt die Stadt Dinslaken aktuell und zukünftig an die jeweiligen Träger des Offenen Ganztags (OGS) an den Dinslakener Grundschulen für die Verpflegung von Kindern im Rahmen der Leistungen nach dem Bildungs- und Teilhabepaket (BuT)?

Wie viele Familien mit BuT-Berechtigung nehmen das OGS-Angebot je Dinslakener Grundschule im laufenden Schuljahr in Anspruch?

Hintergrund meiner Anfrage: 
Der Internationale Bund plant, für nicht BuT-berechtigte Familien zukünftig eine monatliche Pauschale von 75 € für die Mittagsverpflegung zu erheben. Die Durchsetzung dieser Pauschale erfolgt dabei über die angedrohte Beendigung bestehender Betreuungsverträge unter Berufung auf § 103 InsO. Als Begründung für eine Pauschale wurde vornehmlich die Einsparung von Personalkosten angeführt.

Gleichzeitig wurde im Schulausschuss der Stadt Dinslaken am 10. März 2026 von der Verwaltung bestätigt, dass die Stadt für BuT-berechtigte Kinder weiterhin eine verbrauchsabhängige Abrechnung pro Mittagessen gegenüber den Trägern vornimmt. Da diese Einzelabrechnung den gleichen Verwaltungsaufwand erzeugt, dürften die tatsächlich eingesparten Personalkosten durch die Pauschalierung erheblich geringer ausfallen als kommuniziert.

Ich bitte daher um vollständige Transparenz über die städtischen Ausgaben in diesem Bereich.

Ich bitte um Beantwortung in elektronischer Form.

Dies ist ein Antrag nach dem Gesetz über die Freiheit des Zugangs zu Informationen für das Land Nordrhein-Westfalen (Informationsfreiheitsgesetz Nordrhein-Westfalen – IFG NRW), dem Umweltinformationsgesetz Nordrhein-Westfalen (soweit Umweltinformationen betroffen sind) und dem Verbraucherinformationsgesetz des Bundes (soweit Verbraucherinformationen betroffen sind).

Ausschlussgründe liegen meines Erachtens nicht vor.

Aus Gründen der Billigkeit und insbesondere auf Grund des Umstands, dass die Auskunft in gemeinnütziger Art der Öffentlichkeit zur Verfügung gestellt werden wird, bitte ich Sie, nach § 2 VerwGebO IFG NRW von der Erhebung von Gebühren abzusehen. Soweit Umweltinformationen betroffen sind, handelt es sich hierbei um eine einfache Anfrage nach §5 (2) UIG NRW.

Sollte die Aktenauskunft Ihres Erachtens gebührenpflichtig sein, bitte ich Sie, mir dies vorab mitzuteilen und dabei die Höhe der Kosten anzugeben. Auslagen dürfen nicht erhoben werden, da es dafür keine gesetzliche Grundlage gibt.

Ich verweise auf § 5 Abs. 2 IFG NRW, § 2 UIG NRW und bitte Sie, mir die erbetenen Informationen unverzüglich, spätestens nach Ablauf eines Monats zugänglich zu machen.

Sollten Sie für diesen Antrag nicht zuständig sein, möchte ich Sie bitten, ihn an die zuständige Behörde weiterzuleiten und mich darüber zu unterrichten. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an Dritte. 

Nach §5 Abs. 1 Satz 5 IFG NRW bitte ich Sie um eine Antwort in elektronischer Form (E-Mail).
Ich möchte Sie um Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen"
365590,"Die Prüfungsbögen mit den Fragen für den Zweiten Abschnitt der Ärztlichen Prüfung im Frühjahr 2025 einschließlich des Bildmaterials sowie Musterlösungen oder Korrekturhinweise.

Ich verweise auf eine Anfrage auf FragDenStaat, der Sie Zugang zu den angefragten Dokumenten gewährt haben: https://fragdenstaat.de/a/335897"
366391,"Die Prüfungsbögen mit den Fragen für den Zweiten Abschnitt der Ärztlichen Prüfung im Frühjahr 2025 einschließlich des Bildmaterials sowie Musterlösungen oder Korrekturhinweise.

Ich verweise auf eine Anfrage auf FragDenStaat, der Sie Zugang zu den angefragten Dokumenten gewährt haben: https://fragdenstaat.de/a/335897"
366364,"Die Prüfungsbögen mit den Fragen für den Zweiten Abschnitt der Ärztlichen Prüfung im Frühjahr 2025 einschließlich des Bildmaterials sowie Musterlösungen oder Korrekturhinweise.

Ich verweise auf eine Anfrage auf FragDenStaat, der Sie Zugang zu den angefragten Dokumenten gewährt haben: https://fragdenstaat.de/a/335897"
366390,"Die Prüfungsbögen mit den Fragen für den Zweiten Abschnitt der Ärztlichen Prüfung im Frühjahr 2025 einschließlich des Bildmaterials sowie Musterlösungen oder Korrekturhinweise.

Ich verweise auf eine Anfrage auf FragDenStaat, der Sie Zugang zu den angefragten Dokumenten gewährt haben: https://fragdenstaat.de/a/335897"
